[SYS] 2026/06/09 - 15:13:49 | initializing token encoders 
[SYS] 2026/06/09 - 15:13:49 | token encoders initialized 
[SYS] 2026/06/09 - 15:13:49 | using SQLite as database 
[SYS] 2026/06/09 - 15:13:49 | database migration started 
[SYS] 2026/06/09 - 15:13:49 | system is already initialized at: 2026-03-24 08:57:55 +0800 CST 
[SYS] 2026/06/09 - 15:13:49 | REDIS_CONN_STRING not set, Redis is not enabled 
[SYS] 2026/06/09 - 15:13:49 | i18n initialized with languages: zh-CN, zh-TW, en 
[SYS] 2026/06/09 - 15:13:49 | New API v0.0.0 started 
[SYS] 2026/06/09 - 15:13:49 | 正在更新数据看板数据... 
[INFO] 2026/06/09 - 15:13:49 | SYSTEM | codex credential auto-refresh task started: tick=10m0s threshold=24h0m0s 
[SYS] 2026/06/09 - 15:13:49 | upstream model update task started: interval=30m0s 
[SYS] 2026/06/09 - 15:13:49 | 保存数据看板数据成功，共保存0条数据 

  [32mNew API v0.0.0[0m  ready in 248 ms

  ➜  [1mLocal:[0m   http://localhost:3000/
  ➜  [1mNetwork:[0m http://192.168.10.35:3000/

[SYS] 2026/06/09 - 15:13:50 | upstream model update check failed: channel_id=9 channel_name=axa err=Get "https://api.axa.us.ci/v1/models": read tcp 127.0.0.1:16836->127.0.0.1:7890: wsarecv: An existing connection was forcibly closed by the remote host. 
[SYS] 2026/06/09 - 15:13:50 | upstream model update check failed: channel_id=18 channel_name=grok2api err=Get "https://vibe.grok2api.us.ci/v1/models": EOF 
[GIN] 2026/06/09 - 15:14:29 | web | 20260609071429191651008268d9d6qBsfpsOm | 200 |       512.8µs |       127.0.0.1 |     GET /console/channel
[GIN] 2026/06/09 - 15:14:29 | web | 20260609071429844274008268d9d6EmQnQYiC | 200 |      2.5117ms |       127.0.0.1 |     GET /assets/i18n-DiWaxoG1.js
[GIN] 2026/06/09 - 15:14:29 | web | 20260609071429879512008268d9d6AzLide5E | 200 |      1.0001ms |       127.0.0.1 |     GET /assets/react-components-D_IizzI1.js
[GIN] 2026/06/09 - 15:14:29 | web | 20260609071429869508008268d9d6QPdyOggv | 200 |      6.6374ms |       127.0.0.1 |     GET /assets/tools-C0EboDDl.js
[GIN] 2026/06/09 - 15:14:29 | web | 20260609071429839125008268d9d6oQsuZiRK | 200 |     11.6752ms |       127.0.0.1 |     GET /assets/react-core-CrhRkQo_.js
[GIN] 2026/06/09 - 15:14:29 | web | 20260609071429889513008268d9d6QfH2kjQh | 200 |     26.0737ms |       127.0.0.1 |     GET /assets/semi-ui-yRXI6evF.css
[GIN] 2026/06/09 - 15:14:29 | web | 20260609071429909500008268d9d69LcMW2Wg | 200 |     33.0262ms |       127.0.0.1 |     GET /assets/index-DhuUyEKc.css
[GIN] 2026/06/09 - 15:14:29 | web | 20260609071429849518008268d9d6JyYBah50 | 200 |      99.436ms |       127.0.0.1 |     GET /assets/semi-ui-CuYQJcLe.js
[GIN] 2026/06/09 - 15:14:29 | web | 20260609071429833771008268d9d6UmBRXCqM | 200 |    116.2489ms |       127.0.0.1 |     GET /assets/index-BPNcEPvz.js
[GIN] 2026/06/09 - 15:14:29 | api | 202606090714294058513008268d9d6u541TBJ8 | 200 |       520.8µs |       127.0.0.1 |     GET /api/user/self
[GIN] 2026/06/09 - 15:14:29 | api | 202606090714294058513008268d9d6LkGktG6w | 200 |      1.5602ms |       127.0.0.1 |     GET /api/channel/models
[GIN] 2026/06/09 - 15:14:29 | api | 202606090714294121420008268d9d6vl8Iokp2 | 200 |            0s |       127.0.0.1 |     GET /api/status
[GIN] 2026/06/09 - 15:14:29 | api | 202606090714294111462008268d9d6LsgSvNJB | 200 |      1.9951ms |       127.0.0.1 |     GET /api/channel/?p=1&page_size=10&id_sort=true
[GIN] 2026/06/09 - 15:14:29 | api | 202606090714294111462008268d9d6tNAZZxpN | 200 |      1.9951ms |       127.0.0.1 |     GET /api/models
[GIN] 2026/06/09 - 15:14:29 | web | 202606090714294223610008268d9d6ZsGWTSbp | 200 |            0s |       127.0.0.1 |     GET /logo.png
[GIN] 2026/06/09 - 15:14:29 | api | 202606090714294121420008268d9d6cHEXWZ46 | 200 |     15.1847ms |       127.0.0.1 |     GET /api/option/
[GIN] 2026/06/09 - 15:14:29 | web | 202606090714294544094008268d9d6qwVjhpR4 | 200 |            0s |       127.0.0.1 |     GET /logo.png
[GIN] 2026/06/09 - 15:14:29 | api | 202606090714294899734008268d9d63fcvb2Hr | 200 |         764µs |       127.0.0.1 |     GET /api/user/self
[GIN] 2026/06/09 - 15:14:30 | web | 202606090714305880244008268d9d6uU4tPwno | 200 |       882.4µs |       127.0.0.1 |     GET /console/channel
[GIN] 2026/06/09 - 15:14:30 | web | 202606090714306435579008268d9d6m68LjGNu | 200 |      1.4467ms |       127.0.0.1 |     GET /assets/react-components-D_IizzI1.js
[GIN] 2026/06/09 - 15:14:30 | web | 202606090714306427551008268d9d6k7JtLDX3 | 200 |       2.824ms |       127.0.0.1 |     GET /assets/i18n-DiWaxoG1.js
[GIN] 2026/06/09 - 15:14:30 | web | 202606090714306432619008268d9d6IDHoRpuh | 200 |      3.9171ms |       127.0.0.1 |     GET /assets/tools-C0EboDDl.js
[GIN] 2026/06/09 - 15:14:30 | web | 202606090714306417991008268d9d6FW6d064p | 200 |     10.0958ms |       127.0.0.1 |     GET /assets/react-core-CrhRkQo_.js
[GIN] 2026/06/09 - 15:14:30 | web | 202606090714306455791008268d9d6ti2rsubl | 200 |     14.9833ms |       127.0.0.1 |     GET /assets/semi-ui-yRXI6evF.css
[GIN] 2026/06/09 - 15:14:30 | web | 202606090714306466268008268d9d63gGshmYR | 200 |     17.6421ms |       127.0.0.1 |     GET /assets/index-DhuUyEKc.css
[GIN] 2026/06/09 - 15:14:30 | web | 202606090714306435579008268d9d6JmYqGMw7 | 200 |     55.9197ms |       127.0.0.1 |     GET /assets/semi-ui-CuYQJcLe.js
[GIN] 2026/06/09 - 15:14:30 | web | 202606090714306407962008268d9d6RtEal1sH | 200 |     71.7756ms |       127.0.0.1 |     GET /assets/index-BPNcEPvz.js
[GIN] 2026/06/09 - 15:14:30 | api | 202606090714309169022008268d9d6H95n6X73 | 200 |       524.5µs |       127.0.0.1 |     GET /api/user/self
[GIN] 2026/06/09 - 15:14:30 | api | 202606090714309169022008268d9d61W3YLf42 | 200 |      1.0474ms |       127.0.0.1 |     GET /api/channel/models
[GIN] 2026/06/09 - 15:14:30 | api | 202606090714309209102008268d9d6VawP1N14 | 200 |      1.5531ms |       127.0.0.1 |     GET /api/channel/?p=1&page_size=10&id_sort=true
[GIN] 2026/06/09 - 15:14:30 | api | 202606090714309229749008268d9d6LoZVQ9IZ | 200 |            0s |       127.0.0.1 |     GET /api/status
[GIN] 2026/06/09 - 15:14:30 | api | 202606090714309224633008268d9d619HW8nkS | 200 |       511.6µs |       127.0.0.1 |     GET /api/models
[GIN] 2026/06/09 - 15:14:30 | api | 202606090714309224633008268d9d6PGywNwhv | 200 |     14.2979ms |       127.0.0.1 |     GET /api/option/
[GIN] 2026/06/09 - 15:14:30 | web | 202606090714309408142008268d9d6QhNj1UiC | 429 |            0s |       127.0.0.1 |     GET /logo.png
